storename,storecontract,storeid,storeaddress,storecity,storestate,storezip,storephone,storecountry,latlonlocation,latlonlocationdv
Advance Auto Parts,CarQuest,100001,10218 SOUTHARD DRIVE,BELTSVILLE,MD,20705,,USA,"39.0315695,-76.9098349","39.0315695,-76.9098349"
4 KORNERS AUTO PARTS,CarQuest,100002,390 SS CAPTAIN GLOSTER,GLOSTER,MS,39638,6012259915,USA,"31.2006627,-91.0074025","31.2006627,-91.0074025"
"9TH STREET PARTS, LLC",CarQuest,100003,510 WEST NINTH STREET,MT. CARMEL,IL,62863,6184502999,USA,"38.4134352,-87.770957","38.4134352,-87.770957"
A & D AUTO PARTS,CarQuest,100004,810 WEST MAIN STREET,FAIRFIELD,IL,62837,6188427588,USA,"38.3795142,-88.3710266","38.3795142,-88.3710266"
A & J AUTO PARTS,CarQuest,100005,176 WEST ST,RUTLAND,VT,05701,8027755584,USA,"43.6074772,-72.9822844","43.6074772,-72.9822844"
A & S AUTO PARTS INC,CarQuest,100006,P.O. BOX B,ELKHORN CITY,KY,41522,6067544095,USA,"37.3030859,-82.3516902","37.3030859,-82.3516902"
A AND A HARDWARE AND AUTO SUPPLY,CarQuest,100007,15021 HWY M-28     PO BOX 49,BRUCE CROSSING,MI,49912,9068273944,USA,"46.534023,-89.1784237","46.534023,-89.1784237"
A AND B MECHANICAL,CarQuest,100008,400 PLYMOUTH STREET,WASHINGTON,NC,27889,2529751331,USA,"35.5556858,-77.0692631","35.5556858,-77.0692631"
A M AUTO PARTS,CarQuest,100009,44 MAIN STREET,SOURIS,PE,C0A 2B0,9026872844,CAN,"46.3558199,-62.2592556","46.3558199,-62.2592556"
A1 AUTO PARTS,CarQuest,100010,10859 HEBRON RD,BUCKEYE LAKE,OH,43008,7409280333,USA,"39.9396927,-82.4792101","39.9396927,-82.4792101"
A1 AUTO PARTS AND MACHINE,CarQuest,100011,3459 HWY 55 E,FALKVILLE,AL,35622,2567961103,USA,"34.3684295,-86.908616","34.3684295,-86.908616"
AAA TRUCK AND AUTO PARTS,CarQuest,100012,385 SPRINGLAKE HWY P O BOX1069,LITTLEFIELD,TX,79339,8063854720,USA,"33.9302039,-102.3273119","33.9302039,-102.3273119"
Advance Auto Parts,CarQuest,100013,3010 ANDERSON AVENUE,MANHATTAN,KS,66503,7855397419,USA,"39.1900047,-96.6137642","39.1900047,-96.6137642"
Advance Auto Parts,CarQuest,100014,5815 WEST 63RD STREET,CHICAGO,IL,60638,7735853500,USA,"41.7776563,-87.7673391","41.7776563,-87.7673391"
Advance Auto Parts,CarQuest,100015,221 SUMMERS DRIVE,ABBEVILLE,LA,70510,3378930150,USA,"29.983474,-92.133833","29.983474,-92.133833"
Advance Auto Parts,CarQuest,100016,204 N 4TH ST,ABBOTSFORD,WI,54405,7152234231,USA,"44.9482815,-90.3161388","44.9482815,-90.3161388"
Advance Auto Parts,CarQuest,100017,612 6TH AVENUE SW,ABERDEEN,SD,57401,6052250820,USA,"45.4599827,-98.497443","45.4599827,-98.497443"
Advance Auto Parts,CarQuest,100018,3501 LANCASTER-HUTCHINS ROAD,HUTCHUNS,TX,75141,9722844694,USA,"32.6232297,-96.7363077","32.6232297,-96.7363077"
Advance Auto Parts,CarQuest,100019,5690 WEST ALAMEDA,LAKEWOOD,CO,80226,3039367471,USA,"39.7104188,-105.0588009","39.7104188,-105.0588009"
Advance Auto Parts,CarQuest,100020,2605 NORTH WHITE SANDS BLVD,ALAMOGORDO,NM,88310,5754341003,USA,"32.9221114,-105.961083","32.9221114,-105.961083"
Advance Auto Parts,CarQuest,100021,2110 SANTIAM HWY SE,ALBANY,OR,97321,5419266051,USA,"44.6327111,-123.0798671","44.6327111,-123.0798671"
Advance Auto Parts,CarQuest,100022,297 WEST MAIN STREET,AMERICAN FORK,UT,84003,8017639640,USA,"40.376411,-111.8063212","40.376411,-111.8063212"
Advance Auto Parts,CarQuest,100023,105 GREENBRIER DEAR RD,ANNISTON,AL,36201,2562367864,USA,"33.6374566,-85.8262245","33.6374566,-85.8262245"
Advance Auto Parts,CarQuest,100024,315 STATE HWY 64,ANTIGO,WI,54409,7156234108,USA,"45.1616775,-89.1438809","45.1616775,-89.1438809"
Advance Auto Parts,CarQuest,100025,2391 HVILLE HIGHWAY,ARDEN,NC,28704,8286845531,USA,"35.4661613,-82.5166982","35.4661613,-82.5166982"
Advance Auto Parts,CarQuest,100026,1541 PATTON AVENUE,ASHEVILLE,NC,28806,8282535335,USA,"35.5758661,-82.6129295","35.5758661,-82.6129295"
Advance Auto Parts,CarQuest,100027,446 OPELIKA RD,AUBURN,AL,36830,3348217783,USA,"32.6129547,-85.4734507","32.6129547,-85.4734507"
Advance Auto Parts,CarQuest,100028,4515 FREDRICKSBURG RD. SUITE 3,BALCONES HEIGHTS,TX,78201,2103415541,USA,"29.4897596,-98.5517232","29.4897596,-98.5517232"
Advance Auto Parts,CarQuest,100029,720 BROADWAY,BANGOR,ME,04401,2079411490,USA,"44.8249587,-68.7817237","44.8249587,-68.7817237"
Advance Auto Parts,CarQuest,100030,1193 HAMMOND ST,BANGOR,ME,04401,2079411480,USA,"44.7913544,-68.8236882","44.7913544,-68.8236882"
Advance Auto Parts,CarQuest,100031,11206 AIRLINE HWY,BATON ROUGE,LA,70816,2252916888,USA,"30.4005844,-91.0567408","30.4005844,-91.0567408"
Advance Auto Parts,CarQuest,100032,103 S DEAN STREET,BAY CITY,MI,48706,9898922514,USA,"43.6015048,-83.9019992","43.6015048,-83.9019992"
Advance Auto Parts,CarQuest,100033,12041 DIXIE HWY,BIRCH RUN,MI,48415,9896249207,USA,"43.2496402,-83.7684902","43.2496402,-83.7684902"
Advance Auto Parts,CarQuest,100034,2601 G E ROAD,BLOOMINGTON,IL,61704,3096635533,USA,"40.502128,-88.9252954","40.502128,-88.9252954"
Advance Auto Parts,CarQuest,100035,1740 SCOTTDALE RD M139,BENTON HARBOR,MI,49022,2699267255,USA,"42.0861476,-86.4364353","42.0861476,-86.4364353"
Advance Auto Parts,CarQuest,100036,4379 W CHINDEN BLVD,BOISE,ID,83714,2083434941,USA,"43.6332831,-116.2548689","43.6332831,-116.2548689"
Advance Auto Parts,CarQuest,100037,1709 33RD ST,BOULDER,CO,80301,3034496300,USA,"40.016468,-105.250826","40.016468,-105.250826"
Advance Auto Parts,CarQuest,100038,1901 W STATE ST,BRISTOL,VA,24201,2766691141,USA,"36.5958641,-82.2030366","36.5958641,-82.2030366"
Advance Auto Parts,CarQuest,100039,1735 SOUTH F STREET,HARLINGEN,TX,78550,9564230240,USA,"26.1757045,-97.7015778","26.1757045,-97.7015778"
Advance Auto Parts,CarQuest,100040,3799 INTERNATIONAL BLVD,BROWNSVILLE,TX,78521-3256,9569824501,USA,"25.9166799,-97.4720308","25.9166799,-97.4720308"
Advance Auto Parts,CarQuest,100041,27 BATH RD,BRUNSWICK,ME,04011,2077294157,USA,"43.9095852,-69.9515989","43.9095852,-69.9515989"
Advance Auto Parts,CarQuest,100042,7 HINKS ST,BUCKSPORT,ME,04416,2074697977,USA,"44.5717705,-68.7843315","44.5717705,-68.7843315"
Advance Auto Parts,CarQuest,100043,1711 ROSE AVENUE,BURLINGTON,CO,80807,7193465395,USA,"39.3006418,-102.2720138","39.3006418,-102.2720138"
Advance Auto Parts,CarQuest,100044,157 PARK ST,CANTON,NC,28716,8286483537,USA,"35.5306858,-82.8466031","35.5306858,-82.8466031"
Advance Auto Parts,CarQuest,100045,3 ARMCO AVE,CARIBOU,ME,04736,2074986573,USA,"46.8501818,-68.0104141","46.8501818,-68.0104141"
Advance Auto Parts,CarQuest,100046,409 SOUTH CANYON,CARSLBAD,NM,88220,5758871177,USA,"32.4163382,-104.2282851","32.4163382,-104.2282851"
Advance Auto Parts,CarQuest,100047,305 EAST MAIN ST.,CARRBORO,NC,27510,9199672289,USA,"35.9109484,-79.0683188","35.9109484,-79.0683188"
Advance Auto Parts,CarQuest,100048,108 FIRST AVENUE EAST,CARTHAGE,TN,37030,6157352233,USA,"36.2497356,-85.9516506","36.2497356,-85.9516506"
Advance Auto Parts,CarQuest,100049,4933 HAMILTON RD,COLUMBUS,GA,31906,7066600996,USA,"32.5119611,-84.9688295","32.5119611,-84.9688295"
Advance Auto Parts,CarQuest,100050,203 NORTH MAIN STREET,CENTERVILLE,OH,45459,9374351568,USA,"39.6338138,-84.1590956","39.6338138,-84.1590956"
Advance Auto Parts,CarQuest,100051,1445 STALLINGS RD,MATTHEWS,NC,28104,7048212997,USA,"35.0960034,-80.6791155","35.0960034,-80.6791155"
Advance Auto Parts,CarQuest,100052,1209 EAST MAIN STREET,ROCK HILL,SC,29730,8033280115,USA,"34.9164752,-81.0053653","34.9164752,-81.0053653"
Advance Auto Parts,CarQuest,100053,2 S. 541 ROUTE 59,WARRENVILLE,IL,60555,6303934900,USA,"41.7797269,-88.2058207","41.7797269,-88.2058207"
Advance Auto Parts,CarQuest,100054,679 S ADDISON RD,ADDISON,IL,60101,6308343582,USA,"41.9148319,-87.9879462","41.9148319,-87.9879462"
Advance Auto Parts,CarQuest,100055,11757 S. PULASKI ROAD,ALSIP,IL,60803,7085970060,USA,"41.6787806,-87.7193753","41.6787806,-87.7193753"
Advance Auto Parts,CarQuest,100056,3 N SMITH ST,AURORA,IL,60505,6308514626,USA,"41.7525278,-88.2934","41.7525278,-88.2934"
Advance Auto Parts,CarQuest,100057,145 N GARY AVENUE,CAROL STREAM,IL,60188,6306654100,USA,"41.905514,-88.1200247","41.905514,-88.1200247"
Advance Auto Parts,CarQuest,100058,2652 W CHICAGO AVE,CHICAGO,IL,60622,7732763500,USA,"41.8960293,-87.6939348","41.8960293,-87.6939348"
Advance Auto Parts,CarQuest,100059,755 VILLA STREET,ELGIN,IL,60120,8477416160,USA,"42.0286191,-88.2625055","42.0286191,-88.2625055"
Advance Auto Parts,CarQuest,100060,840 E HIGGINS ROAD,ELK GROVE VILLAGE,IL,60007,8474375010,USA,"42.0277794,-87.9750294","42.0277794,-87.9750294"
Advance Auto Parts,CarQuest,100061,1717 WEST MAIN STREET,ST CHARLES,IL,60174,6302328444,USA,"41.9122477,-88.3361145","41.9122477,-88.3361145"
Advance Auto Parts,CarQuest,100062,211 S MILWAUKEE AVE,LIBERTYVILLE,IL,60048,8473627600,USA,"42.281433,-87.9534678","42.281433,-87.9534678"
Advance Auto Parts,CarQuest,100063,15142 LAGRANGE RD,ORLAND PARK,IL,60462,7084608900,USA,"41.6145294,-87.8553387","41.6145294,-87.8553387"
Advance Auto Parts,CarQuest,100064,20 ISLAND ST,CHIPPEWA FALLS,WI,54729,7157239391,USA,"44.9335946,-91.3944529","44.9335946,-91.3944529"
Advance Auto Parts,CarQuest,100065,1055 LAKE STREET,HANOVER PARK,IL,60133,6308930660,USA,"41.9771593,-88.1291136","41.9771593,-88.1291136"
Advance Auto Parts,CarQuest,100066,710A STATE PARKWAY,SCHAUMBURG,IL,60173,8473100122,USA,"42.0564412,-88.0623403","42.0564412,-88.0623403"
Advance Auto Parts,CarQuest,100067,2312 MAIN ST,EVANSTON,IL,60202,8478660960,USA,"42.0332994,-87.7059462","42.0332994,-87.7059462"
Advance Auto Parts,CarQuest,100068,135 ROOSEVELT ROAD,WEST CHICAGO,IL,60185,6302310877,USA,"41.8669325,-88.2059613","41.8669325,-88.2059613"
Advance Auto Parts,CarQuest,100069,6140 DIXIE HWY,FAIRFIELD,OH,45014,5138297500,USA,"39.3261244,-84.5087164","39.3261244,-84.5087164"
Advance Auto Parts,CarQuest,100070,301 SOUTH RIVERSIDE DRIVE,CLARKSVILLE,TN,37040,9315381433,USA,"36.5233512,-87.3629657","36.5233512,-87.3629657"
Advance Auto Parts,CarQuest,100071,120 WEST LIBERTY ST.,MEDINA,OH,44256,3307256608,USA,"41.1387426,-81.8649921","41.1387426,-81.8649921"
Advance Auto Parts,CarQuest,100072,7449 ROYALTON RD,N. ROYALTON,OH,44133,4402378700,USA,"41.3132508,-81.7400409","41.3132508,-81.7400409"
Advance Auto Parts,CarQuest,100073,2825 SILVER DRIVE,COLUMBUS,OH,43211,6142676321,USA,"40.0227299,-82.9963933","40.0227299,-82.9963933"
Advance Auto Parts,CarQuest,100074,320 WEST KATHLEEN AVENUE,COEUR D'ALENE,ID,83815,2086642207,USA,"47.7148998,-116.7908592","47.7148998,-116.7908592"
Advance Auto Parts,CarQuest,100075,208 3RD STREET SOUTH,COLD SPRING,MN,56320,3206857311,USA,"45.4521032,-94.4269945","45.4521032,-94.4269945"
Advance Auto Parts,CarQuest,100076,756 WEST POPLAR AVE.,COLLIERVILLE,TN,38017,9018617192,USA,"35.046592,-89.6871157","35.046592,-89.6871157"
Advance Auto Parts,CarQuest,100077,1636 STATE STREET,COLUMBUS,IN,47201,8123723781,USA,"39.1990661,-85.9059747","39.1990661,-85.9059747"
Advance Auto Parts,CarQuest,100078,900 VETERANS PARKWAY,COLUMBUS,GA,31901,7063271533,USA,"32.4631163,-84.9870504","32.4631163,-84.9870504"
Advance Auto Parts,CarQuest,100079,1012 COMMERCIAL ST. NE,SALEM,OR,97301,5035811585,USA,"44.950005,-123.0349969","44.950005,-123.0349969"
Advance Auto Parts,CarQuest,100080,1019 EAST MAIN STREET,ALICE,TX,78332,3616646521,USA,"27.7508066,-98.0659343","27.7508066,-98.0659343"
Advance Auto Parts,CarQuest,100081,532 NW THIRD,CORVALLIS,OR,97330,5417527761,USA,"44.5688709,-123.2590311","44.5688709,-123.2590311"
Advance Auto Parts,CarQuest,100082,1234 COLLINS BLVD,COVINGTON,LA,70433,9858980550,USA,"30.489768,-90.0940906","30.489768,-90.0940906"
Advance Auto Parts,CarQuest,100083,689 NORTH FERDON,CRESTVIEW,FL,32536,8506825191,USA,"30.7687948,-86.5664176","30.7687948,-86.5664176"
Advance Auto Parts,CarQuest,100084,919 N PARKERSON AVE,CROWLEY,LA,70526,3377834654,USA,"30.218338,-92.376233","30.218338,-92.376233"
Advance Auto Parts,CarQuest,100085,115 S BELTLINE ROAD,IRVING,TX,75060,9727904775,USA,"32.8147713,-96.9943569","32.8147713,-96.9943569"
Advance Auto Parts,CarQuest,100086,362 MAIN STREET,DALLAS,OR,97338,5036230818,USA,"44.9265321,-123.3140888","44.9265321,-123.3140888"
Advance Auto Parts,CarQuest,100087,104 W. UNIVERSITY DR,MCKINNEY,TX,75069,9725424456,USA,"33.214088,-96.6160948","33.214088,-96.6160948"
Advance Auto Parts,CarQuest,100088,940 EAST HIGHWAY 92,DELTA,CO,81416-3418,9708747506,USA,"38.7422062,-108.0689582","38.7422062,-108.0689582"
Advance Auto Parts,CarQuest,100089,551 E. 120TH AVE,THORNTON,CO,80233,3032870371,USA,"39.9145358,-104.9804143","39.9145358,-104.9804143"
Advance Auto Parts,CarQuest,100090,800 W 84TH AVE,DENVER,CO,80221,3034301716,USA,"39.848655,-104.9970746","39.848655,-104.9970746"
Advance Auto Parts,CarQuest,100091,6370 TRANSIT RD,DEPEW,NY,14043,7166865333,USA,"42.9306066,-78.6976162","42.9306066,-78.6976162"
Advance Auto Parts,CarQuest,100092,34883 EMERALD COAST HIGHWAY,DESTIN,FL,32541,8502690533,USA,"30.3889028,-86.4299761","30.3889028,-86.4299761"
Advance Auto Parts,CarQuest,100093,31135 RYAN RD,WARREN,MI,48092,5869391075,USA,"42.5215258,-83.0688132","42.5215258,-83.0688132"
Advance Auto Parts,CarQuest,100094,610 HIGHWAY 2 EAST,DEVIL'S LAKE,ND,58301,7016624031,USA,"48.1001396,-98.8565974","48.1001396,-98.8565974"
Advance Auto Parts,CarQuest,100095,94 CHURCH STREET,DEXTER,ME,04930,2079247378,USA,"45.0291463,-69.2876831","45.0291463,-69.2876831"
Advance Auto Parts,CarQuest,100096,50 2ND AVENUE,DODGE CITY,KS,67801,6202272151,USA,"37.749308,-100.0191269","37.749308,-100.0191269"
Advance Auto Parts,CarQuest,100097,503 SOUTH HUDSON AVE,STURGEON BAY,WI,54235,9207435584,USA,"44.8225009,-87.3929252","44.8225009,-87.3929252"
Advance Auto Parts,CarQuest,100098,1024 S OATES STREET,DOTHAN,AL,36301,3347934676,USA,"31.2109547,-85.3936555","31.2109547,-85.3936555"
Advance Auto Parts,CarQuest,100099,114 EAST BRYAN STREET,DOUGLAS,GA,31533,9123843105,USA,"31.506229,-82.8499691","31.506229,-82.8499691"
Advance Auto Parts,CarQuest,100100,67 SUMMER ST,DOVER-FOXCROFT,ME,04426,2075643333,USA,"45.1889052,-69.2267006","45.1889052,-69.2267006"
Advance Auto Parts,CarQuest,100101,15 VICTORY LN,DRACUT,MA,01826,9195733000,USA,"42.6692896,-71.3282977","42.6692896,-71.3282977"
Advance Auto Parts,CarQuest,100102,509 N. MANGUM ST.,DURHAM,NC,27701,9196825781,USA,"35.9991384,-78.8978556","35.9991384,-78.8978556"
Advance Auto Parts,CarQuest,100103,1062 E WALL ST,EAGLE RIVER,WI,54521,7154797469,USA,"45.914529,-89.2352089","45.914529,-89.2352089"
Advance Auto Parts,CarQuest,100104,1807 BRACKETT AVE,EAU CLAIRE,WI,54701,7158342916,USA,"44.7997327,-91.4755733","44.7997327,-91.4755733"
Advance Auto Parts,CarQuest,100105,402 SOUTH MAIN,ELLENSBURG,WA,98926,5099255333,USA,"46.9889155,-120.547867","46.9889155,-120.547867"
Advance Auto Parts,CarQuest,100106,5660 ALAMEDA AVE,EL PASO,TX,79905,9152134002,USA,"31.7670656,-106.4211256","31.7670656,-106.4211256"
Advance Auto Parts,CarQuest,100107,11220 ROJAS  SUITE C7,EL PASO,TX,79935,9155924177,USA,"31.7437443,-106.3260556","31.7437443,-106.3260556"
Advance Auto Parts,CarQuest,100108,220 N 30TH STREET,ESCANABA,MI,49829,9067890000,USA,"45.7477627,-87.0892979","45.7477627,-87.0892979"
Advance Auto Parts,CarQuest,100109,530 HWY 99 NORTH,EUGENE,OR,97403,5416895432,USA,"44.0671535,-123.140552","44.0671535,-123.140552"
Advance Auto Parts,CarQuest,100110,2302 E. MAIN STREET,SPRINGFIELD,OR,97477,5417461649,USA,"44.0463175,-122.9919265","44.0463175,-122.9919265"
Advance Auto Parts,CarQuest,100111,2202 EVERETT AVE,EVERETT,WA,98201,4252590851,USA,"47.981571,-122.199756","47.981571,-122.199756"
Advance Auto Parts,CarQuest,100112,1403 N STATE ST,FAIRMONT,MN,56031,5072356626,USA,"43.6670319,-94.4486814","43.6670319,-94.4486814"
Advance Auto Parts,CarQuest,100113,4037 MAIN AVE,FARGO,ND,58103,7012825800,USA,"46.8768031,-96.8486072","46.8768031,-96.8486072"
Advance Auto Parts,CarQuest,100114,1500 N LEROY,FENTON,MI,48430,8106290121,USA,"42.8180687,-83.7070026","42.8180687,-83.7070026"
Advance Auto Parts,CarQuest,100115,N6584 ROLLING MEADOWS DR,FOND DU LAC,WI,54937,9209076173,USA,"43.7800057,-88.4842057","43.7800057,-88.4842057"
Advance Auto Parts,CarQuest,100116,1404 WEST DICKINSON BOULEVARD,FORT STOCKTON,TX,79735,4323367611,USA,"30.8945599,-102.8941831","30.8945599,-102.8941831"
Advance Auto Parts,CarQuest,100117,326 MAIN STREET,FT FAIRFIELD,ME,04742,2074723681,USA,"46.7721773,-67.8321639","46.7721773,-67.8321639"
Advance Auto Parts,CarQuest,100118,128 RACETRACK RD NE,FT WALTON BEACH,FL,32548,8508631184,USA,"30.447074,-86.60815","30.447074,-86.60815"
Advance Auto Parts,CarQuest,100119,118 NW 8TH AVENUE,GAINESVILLE,FL,32601,3523728581,USA,"29.6595622,-82.3263673","29.6595622,-82.3263673"
Advance Auto Parts,CarQuest,100120,444 MAIN STREET,DEPERE,WI,54115,9203367766,USA,"44.4480143,-88.0724027","44.4480143,-88.0724027"
Advance Auto Parts,CarQuest,100121,711 E TOWN AVE,GENEVA,AL,36340,3346842228,USA,"31.032527,-85.8664951","31.032527,-85.8664951"
Advance Auto Parts,CarQuest,100122,2100 SOUTH DOUGLAS HIGHWAY,GILLETTE,WY,82718,3076224825,USA,"44.2753514,-105.4948455","44.2753514,-105.4948455"
Advance Auto Parts,CarQuest,100123,115 N 9TH STREET,GLADSTONE,MI,49837,9064281833,USA,"45.8493178,-87.0209855","45.8493178,-87.0209855"
Advance Auto Parts,CarQuest,100124,2521 SOUTH WASHINGTON,GRAND FORKS,ND,58201,7017754618,USA,"47.8951595,-97.0439932","47.8951595,-97.0439932"
Advance Auto Parts,CarQuest,100125,2469 HIGHWAY 6 & 50,GRAND JUNCTION,CO,81505,9702424774,USA,"39.0847563,-108.5953313","39.0847563,-108.5953313"
Advance Auto Parts,CarQuest,100126,2647 8TH AVE. UNIT A,GREELEY,CO,80631-6927,9703535651,USA,"40.3938954,-104.691854","40.3938954,-104.691854"
Advance Auto Parts,CarQuest,100127,"601 GREENVILLE BLVD, SOUTHWEST",GREENVILLE,NC,27834,2523531400,USA,"35.5726892,-77.395735","35.5726892,-77.395735"
Advance Auto Parts,CarQuest,100128,701 WALNUT STREET,GREENVILLE,OH,45331,9375484199,USA,"40.1000629,-84.6280863","40.1000629,-84.6280863"
Advance Auto Parts,CarQuest,100129,21325 S.E. STARK ST.,GRESHAM,OR,97030,5036657111,USA,,
Advance Auto Parts,CarQuest,100130,821 LIME KILN RD,GREEN BAY,WI,54302,9204685333,USA,"44.4888523,-87.9778082","44.4888523,-87.9778082"
Advance Auto Parts,CarQuest,100131,121-123 QUINCY ST,HANCOCK,MI,49930,9064821440,USA,"47.1271741,-88.5801979","47.1271741,-88.5801979"
Advance Auto Parts,CarQuest,100132,212 NORTH 3RD,HANNIBAL,MO,63401,5732212553,USA,"39.7106069,-91.3574357","39.7106069,-91.3574357"
Advance Auto Parts,CarQuest,100133,15911 US HWY 63 SOUTH,HAYWARD,WI,54843,7156342659,USA,"46.0094531,-91.489021","46.0094531,-91.489021"
Advance Auto Parts,CarQuest,100134,1833 ELMWOOD AVE,BUFFALO,NY,14207,7168750811,USA,"42.9471034,-78.8772592","42.9471034,-78.8772592"
Advance Auto Parts,CarQuest,100135,11523 COUNTY RD 3,HOPKINS,MN,55343,9529350120,USA,"44.9202711,-93.4256234","44.9202711,-93.4256234"
Advance Auto Parts,CarQuest,100136,1402 W MEMORIAL DR,HOUGHTON,MI,49931,9064823770,USA,"47.1092655,-88.5911438","47.1092655,-88.5911438"
Advance Auto Parts,CarQuest,100137,41 BANGOR ST,HOULTON,ME,04730,2075322207,USA,"46.1243466,-67.8438377","46.1243466,-67.8438377"
Advance Auto Parts,CarQuest,100138,705 N OLD STATESVILLE RD,HUNTERSVILLE,NC,28078,7049481882,USA,"35.4213292,-80.8424823","35.4213292,-80.8424823"
Advance Auto Parts,CarQuest,100139,210 CLEVELAND STREET,IDAHO FALLS,ID,83401,2085237874,USA,"43.4993568,-112.0303176","43.4993568,-112.0303176"
Advance Auto Parts,CarQuest,100140,421 W FIRST ST,KAPLAN,LA,70548,3376432281,USA,"29.999062,-92.289714","29.999062,-92.289714"
Advance Auto Parts,CarQuest,100141,105 N. ELY STREET,KENNEWICK,WA,99336,5093962582,USA,"46.2104625,-119.1606113","46.2104625,-119.1606113"
Advance Auto Parts,CarQuest,100142,"5506 75TH STREET, SUITE 101",KENOSHA,WI,53143,2626971436,USA,"42.5671766,-87.8737325","42.5671766,-87.8737325"
Advance Auto Parts,CarQuest,100143,"7818 S 212TH ST, SUITE A107",KENT,WA,98032,4256564468,USA,"47.4128084,-122.2345354","47.4128084,-122.2345354"
Advance Auto Parts,CarQuest,100144,1027 HOGANSVILLE RD,LAGRANGE,GA,30241,7068843383,USA,"33.0497698,-85.0101082","33.0497698,-85.0101082"
Advance Auto Parts,CarQuest,100145,430 91ST AVE NE UNIT 1,LAKE STEVENS,WA,98258,4253340466,USA,"48.0005108,-122.1090514","48.0005108,-122.1090514"
Advance Auto Parts,CarQuest,100146,1991 LAKEPOINT DR.,LEWISVILLE,TX,75057,9724599144,USA,"33.0154947,-96.9709434","33.0154947,-96.9709434"
Advance Auto Parts,CarQuest,100147,455 NORTH VALLEY RD UNIT 1,LAS CRUCES,NM,88005,5055265504,USA,"32.3078112,-106.7956692","32.3078112,-106.7956692"
Advance Auto Parts,CarQuest,100148,1021 ROGERS STREET,LAUREL,MS,39442,6014253112,USA,"31.6902053,-89.1398589","31.6902053,-89.1398589"
Advance Auto Parts,CarQuest,100149,2209 4TH STREET,LEAVENWORTH,KS,66048,9136826065,USA,"39.2945036,-94.9085246","39.2945036,-94.9085246"
Advance Auto Parts,CarQuest,100150,152 SOUTH MAPLE ST,LEBANON,TN,37087,6154442062,USA,"36.2054576,-86.2933734","36.2054576,-86.2933734"
Advance Auto Parts,CarQuest,100151,201 SOUTHLAND DRIVE,LEXINGTON,KY,40503,8592777121,USA,"38.0127078,-84.5189863","38.0127078,-84.5189863"
Advance Auto Parts,CarQuest,100152,1292 INDUSTRY RD,LEXINGTON,KY,40505,8592557911,USA,"38.0489113,-84.4558666","38.0489113,-84.4558666"
Advance Auto Parts,CarQuest,100153,5001 RENTWORTH DR SUITE 1,LINCOLN,NE,68516,4024205005,USA,"40.7562772,-96.6506191","40.7562772,-96.6506191"
Advance Auto Parts,CarQuest,100154,580 LISBON ST,LISBON FALLS,ME,04252,2073538523,USA,"44.0051465,-70.0728355","44.0051465,-70.0728355"
Advance Auto Parts,CarQuest,100155,609 N MAIN ST,LODI,WI,53555,6085923831,USA,"43.3179873,-89.5322545","43.3179873,-89.5322545"
Advance Auto Parts,CarQuest,100156,1585 NORTH MAIN,LOGAN,UT,84321,4357528991,USA,"41.76105,-111.8351998","41.76105,-111.8351998"
Advance Auto Parts,CarQuest,100157,810 17 TH AVE,LONGMONT,CO,80501,3037765412,USA,"40.189137,-105.106116","40.189137,-105.106116"
Advance Auto Parts,CarQuest,100158,812 WASHINGTON WAY,LONGVIEW,WA,98632,3606364600,USA,"46.1452969,-122.9260707","46.1452969,-122.9260707"
Advance Auto Parts,CarQuest,100159,400 US HIGHWAY 1792 S,LONGWOOD,FL,32750,4078309051,USA,"28.694503,-81.32921","28.694503,-81.32921"
Advance Auto Parts,CarQuest,100160,386 SOUTH FOREST AVENUE,LUVERNE,AL,36049,3343353366,USA,"31.7107727,-86.2640817","31.7107727,-86.2640817"
Advance Auto Parts,CarQuest,100161,18327 HWY 99,LYNNWOOD,WA,98037,4257714990,USA,"47.8320241,-122.3048504","47.8320241,-122.3048504"
Advance Auto Parts,CarQuest,100162,214 MAIN STREET,MACHIAS,ME,04654,2072558606,USA,"44.7233155,-67.4431052","44.7233155,-67.4431052"
Advance Auto Parts,CarQuest,100163,1910 S. STOUGHTON RD.,MADISON,WI,53716,6082240213,USA,"43.0707123,-89.3106789","43.0707123,-89.3106789"
Advance Auto Parts,CarQuest,100164,6211 MCKEE ROAD,MADISON,WI,53719,6082717131,USA,"43.014878,-89.4759161","43.014878,-89.4759161"
Advance Auto Parts,CarQuest,100165,1019 WASHINGTON STREET,MANITOWOC,WI,54220,9206826508,USA,"44.0885914,-87.661735","44.0885914,-87.661735"
Advance Auto Parts,CarQuest,100166,619 S. DIAMOND ST.,MANSFIELD,OH,44907,4195248866,USA,"40.7458576,-82.5036151","40.7458576,-82.5036151"
Advance Auto Parts,CarQuest,100167,211 S FIFTH ST,MARQUETTE,MI,49855,9062289211,USA,"46.5430061,-87.3996481","46.5430061,-87.3996481"
Advance Auto Parts,CarQuest,100168,1818 N CENTRAL AVE,MARSHFIELD,WI,54449,7153840001,USA,"44.6864568,-90.1604347","44.6864568,-90.1604347"
Advance Auto Parts,CarQuest,100169,510 S CENTRAL AVE,MARSHFIELD,WI,54449,7153842121,USA,"44.6630559,-90.1767629","44.6630559,-90.1767629"
Advance Auto Parts,CarQuest,100170,1701 GRATIOT AVE,MARYSVILLE,MI,48040,8103645122,USA,"42.918226,-82.47937","42.918226,-82.47937"
